Title,Text
A Note on Valuation in Private Equity,larger than the expected inflation rate to compensate for faster growth now but zero real growth in the future in the longrun when the longrun starts is dependent upon industry maturity firm strategy etc most firms will probably grow at a rate between that of inflation and the overall growth rate of the economy nominal gdp be aware that if your cash flow estimates are over a short period of time three years or less then the terminal value will drive your estimates of net present value valuation in which the terminal value represents a substantial majority of the value are likely to be very sensitive to small changes in growth rate assumptions once the terminal value is calculated the net present value of future cash flows is given by equation 3 3 the debt taken on by the firm provides tax advantages because the interest payments are tax deductible the value of the tax shield ts in period t from debt level d paying interest at a rate of rd is given by 4 4 these tax shields need to be discounted at a rate appropriate to their riskiness if firms set debt at a level proportional to firm
A Note on Valuation in Private Equity,are likely to be very sensitive to small changes in growth rate assumptions once the terminal value is calculated the net present value of future cash flows is given by equation 3 3 the debt taken on by the firm provides tax advantages because the interest payments are tax deductible the value of the tax shield ts in period t from debt level d paying interest at a rate of rd is given by 4 4 these tax shields need to be discounted at a rate appropriate to their riskiness if firms set debt at a level proportional to firm value then the tax shields are as risky as the firms assets so the proper discount rate is ra in that case the present value of the tax shield for the firm pvts having debt of dt and a longrun equilibrium debt level of deq is given by equation 5 5 if d is the constant level of debt then 5 implies that the debt tax shield is just trddra the adjusted present value of the project is now given by equation 6 6 this value is then compared with the investment cost to determine whether or not the firm
A Note on Valuation in Private Equity,value then the tax shields are as risky as the firms assets so the proper discount rate is ra in that case the present value of the tax shield for the firm pvts having debt of dt and a longrun equilibrium debt level of deq is given by equation 5 5 if d is the constant level of debt then 5 implies that the debt tax shield is just trddra the adjusted present value of the project is now given by equation 6 6 this value is then compared with the investment cost to determine whether or not the firm or individual should undertake the project ccf minus the cost of the investment i yields a much talked about term net present value npv npvccf pvccf i 7 discount rates estimation of discount rates should be familiar to most people from earlier course work simple formulas provide a guide to appropriate rates 8 ru a discount rate for the firms assets ie the rate on unlevered equity rf risk free rate u unlevered beta rm market rate of return on common stocks rmrf market risk premium the underlying basis for 8 is the capital asset pricing model and its implications
A Note on Valuation in Private Equity,or individual should undertake the project ccf minus the cost of the investment i yields a much talked about term net present value npv npvccf pvccf i 7 discount rates estimation of discount rates should be familiar to most people from earlier course work simple formulas provide a guide to appropriate rates 8 ru a discount rate for the firms assets ie the rate on unlevered equity rf risk free rate u unlevered beta rm market rate of return on common stocks rmrf market risk premium the underlying basis for 8 is the capital asset pricing model and its implications have been extensively discussed in the academic and practitioners literature i will discuss some of the potential caveats to the use of betas in estimating cost of capital but given that we have no better alternative you should use it with caution the first question that 8 brings up is what are the appropriate rates to use rf is the risk free rate when determining the appropriate risk free rate you should attempt to match the maturity of the investment project with that of rf for example if you are valuing a longterm investment project rf would be the yield
A Note on Valuation in Private Equity,have been extensively discussed in the academic and practitioners literature i will discuss some of the potential caveats to the use of betas in estimating cost of capital but given that we have no better alternative you should use it with caution the first question that 8 brings up is what are the appropriate rates to use rf is the risk free rate when determining the appropriate risk free rate you should attempt to match the maturity of the investment project with that of rf for example if you are valuing a longterm investment project rf would be the yield on longterm treasury for shorterterm investment projects you should use the shortterm treasury rate the market risk premium used can vary some evidence indicates that the risk premium has decreased over time to around 56 today for example siegel 2005 estimated that a historical equity risk premium over the 18712004 period was equal to approximately 52 percent in a 2011 update siegel 2011 estimated a historical equity risk premium over the 18702011 period as 49 percent welch 2009 surveyed financial economists in january 2009 and found that the median equity risk premium over shortterm treasury bills reported by survey responders
A Note on Valuation in Private Equity,on longterm treasury for shorterterm investment projects you should use the shortterm treasury rate the market risk premium used can vary some evidence indicates that the risk premium has decreased over time to around 56 today for example siegel 2005 estimated that a historical equity risk premium over the 18712004 period was equal to approximately 52 percent in a 2011 update siegel 2011 estimated a historical equity risk premium over the 18702011 period as 49 percent welch 2009 surveyed financial economists in january 2009 and found that the median equity risk premium over shortterm treasury bills reported by survey responders constituted 6 percent ibbotson 2012 calculated that the forwardlooking equity risk premium as of 2011 was 614 percent ibbotson and chen 2003 calculated that the forwardlooking longterm equity risk premium based on data from 19262000 was 59 percent fernandez et al 2013 surveyed finance and economics professors analysts and managers of companies in may and june 2012 and asked them about the market risk premium that they use to calculate the required return to equity according to their findings the average and median equity risk premium for the us was equal to 55 and 54 percent respectively as a general
A Note on Valuation in Private Equity,constituted 6 percent ibbotson 2012 calculated that the forwardlooking equity risk premium as of 2011 was 614 percent ibbotson and chen 2003 calculated that the forwardlooking longterm equity risk premium based on data from 19262000 was 59 percent fernandez et al 2013 surveyed finance and economics professors analysts and managers of companies in may and june 2012 and asked them about the market risk premium that they use to calculate the required return to equity according to their findings the average and median equity risk premium for the us was equal to 55 and 54 percent respectively as a general rule we will utilize a risk premium of 6 in private equity finance but a risk premium of anywhere between 5 and 6 would be a reasonable choice choosing an estimate of u is more difficult than the market risk premium u is the systematic risk of the investment being evaluated assuming that it is 100 equity financed for public companies estimates of u can be obtained from a regression of stock returns for that company on the market return the beta estimates obtained from stock returns are however equity betas for levered firms l to go from the equity
A Note on Valuation in Private Equity,rule we will utilize a risk premium of 6 in private equity finance but a risk premium of anywhere between 5 and 6 would be a reasonable choice choosing an estimate of u is more difficult than the market risk premium u is the systematic risk of the investment being evaluated assuming that it is 100 equity financed for public companies estimates of u can be obtained from a regression of stock returns for that company on the market return the beta estimates obtained from stock returns are however equity betas for levered firms l to go from the equity beta to the unlevered beta we need to unlever the beta 7 di total debt of company i ei market value of equity for company i t tax rate if the project is substantially different from the firms existing assets or the firm is privately held then you should search for comparable firms that have assets and activities that are similar to the investment project as the discussion below will make clear the more firms you can find that are similar to the project being evaluated the more confidence you will have in your estimate of beta historical l are
A Note on Valuation in Private Equity,beta to the unlevered beta we need to unlever the beta 7 di total debt of company i ei market value of equity for company i t tax rate if the project is substantially different from the firms existing assets or the firm is privately held then you should search for comparable firms that have assets and activities that are similar to the investment project as the discussion below will make clear the more firms you can find that are similar to the project being evaluated the more confidence you will have in your estimate of beta historical l are defined as l derived from a regression of a firms stock return on the market excess return estimated on historical stock return data they can typically be found for most public companies from services like bloomberg or valueline because l tends to be mean reverting towards 1 over time services like bloomberg will often also provide an adjusted l measure the adjusted l is typically just a weighted average of the historical l and 1 to reflect that extreme values of l are likely to move towards 1 over time additionally investors are concerned with an investments future returns therefore
A Note on Valuation in Private Equity,defined as l derived from a regression of a firms stock return on the market excess return estimated on historical stock return data they can typically be found for most public companies from services like bloomberg or valueline because l tends to be mean reverting towards 1 over time services like bloomberg will often also provide an adjusted l measure the adjusted l is typically just a weighted average of the historical l and 1 to reflect that extreme values of l are likely to move towards 1 over time additionally investors are concerned with an investments future returns therefore an estimate of systematic risk such as l should be used in a forwardlooking context because l is an approximation of what investors perceive the sensitivity of that firms value to changes in the economy will be going forward many external factors can be expected to affect a stocks systematic risk or l over time however the expected beta is unobservable in the market and therefore must be estimated while there are a number of approaches to calculating the expected beta academic studies have opined that models that incorporate fundamental risk factors in addition to stock market movements provide reliable
A Note on Valuation in Private Equity,an estimate of systematic risk such as l should be used in a forwardlooking context because l is an approximation of what investors perceive the sensitivity of that firms value to changes in the economy will be going forward many external factors can be expected to affect a stocks systematic risk or l over time however the expected beta is unobservable in the market and therefore must be estimated while there are a number of approaches to calculating the expected beta academic studies have opined that models that incorporate fundamental risk factors in addition to stock market movements provide reliable predictors of the expected risk of a company on a lookingforward basis barra a wellknown data provider estimates predicted betas using such a model barras predicted l are frequently relied upon by academics and investment professionals for equity valuation barra defines its predicted beta as a forecast of a stocks sensitivity to the market it is also known as fundamental beta because it is derived from fundamental risk factors in the barra model these risk factors include 13 attributessuch as size yield and priceearnings ratio because we reestimate these risk factors monthly the predicted beta reflects changes in the companys
A Note on Valuation in Private Equity,predictors of the expected risk of a company on a lookingforward basis barra a wellknown data provider estimates predicted betas using such a model barras predicted l are frequently relied upon by academics and investment professionals for equity valuation barra defines its predicted beta as a forecast of a stocks sensitivity to the market it is also known as fundamental beta because it is derived from fundamental risk factors in the barra model these risk factors include 13 attributessuch as size yield and priceearnings ratio because we reestimate these risk factors monthly the predicted beta reflects changes in the companys underlying risk structure in a timely manner1 1 barra inc 2000 predicted beta p 1 retrieved from httpwwwbarracomsupportlibrarypredictedbetapdf a question often arises when there are no comparable companies this often occurs in entrepreneurial or venture capital settings the firm may be doing something new or have a totally new project in this case you need to use a little common sense to get ballpark estimates of the systematic risk of the firm if you have accounting data on the firm you can try to use earnings betas which have some correlation with equity betas you should also try to think
A Note on Valuation in Private Equity,underlying risk structure in a timely manner1 1 barra inc 2000 predicted beta p 1 retrieved from httpwwwbarracomsupportlibrarypredictedbetapdf a question often arises when there are no comparable companies this often occurs in entrepreneurial or venture capital settings the firm may be doing something new or have a totally new project in this case you need to use a little common sense to get ballpark estimates of the systematic risk of the firm if you have accounting data on the firm you can try to use earnings betas which have some correlation with equity betas you should also try to think about how cyclical the firm is is the risk systematic or can it be diversified away how does the firm fair in booms and busts these types of questions will get you close to an appropriate discount rate when trying to do valuation remember however that you should always see how sensitive the value is to various discount rates it is also important to worry more about cash flow estimation some thoughts about discount rates when you calculate a beta for a firm you should not regard this as the discount rate considerable controversy exists about the validity of the
A Note on Valuation in Private Equity,about how cyclical the firm is is the risk systematic or can it be diversified away how does the firm fair in booms and busts these types of questions will get you close to an appropriate discount rate when trying to do valuation remember however that you should always see how sensitive the value is to various discount rates it is also important to worry more about cash flow estimation some thoughts about discount rates when you calculate a beta for a firm you should not regard this as the discount rate considerable controversy exists about the validity of the capital asset pricing model that underlies the calculation of costs of capital in this way without going into the academic debate i just warn you that you should not think that betas somehow represent facts that will exactly estimate value the first caution is to note that betas are measured with a significant amount of error the betas of companies that do very similar things often appear to be quite different if one looks however at the standard errors of the estimate ie the potential range of values the precision of beta estimates for any one company are quite low
A Note on Valuation in Private Equity,capital asset pricing model that underlies the calculation of costs of capital in this way without going into the academic debate i just warn you that you should not think that betas somehow represent facts that will exactly estimate value the first caution is to note that betas are measured with a significant amount of error the betas of companies that do very similar things often appear to be quite different if one looks however at the standard errors of the estimate ie the potential range of values the precision of beta estimates for any one company are quite low for this reason it is usually useful to try to triangulate the discount rate of a target firm with a number of comparable companies in the search for a proper beta using a greater number of firms can average out the noise in the estimation of beta there is usually a tradeoff between picking many comparable firms or only a few the greater the number of comparables the greater the reduction in estimation error at the same time however you run the risk of including firms that are not truly comparable even trying to find comparables may prove troublesome one
A Note on Valuation in Private Equity,for this reason it is usually useful to try to triangulate the discount rate of a target firm with a number of comparable companies in the search for a proper beta using a greater number of firms can average out the noise in the estimation of beta there is usually a tradeoff between picking many comparable firms or only a few the greater the number of comparables the greater the reduction in estimation error at the same time however you run the risk of including firms that are not truly comparable even trying to find comparables may prove troublesome one should try to find companies that are as close to the project or acquisition target as possible this might entail a detailed analysis of what the comparables actually do and the various weights these activities have within the firm finally the patterns of betas vary over time even for one particular company if one looks at the beta for an individual company the beta can change from year to year the systematic risk of the firm may vary the capital structure may vary or both this fact should provide some caution about using betas estimated over long time periods these
A Note on Valuation in Private Equity,should try to find companies that are as close to the project or acquisition target as possible this might entail a detailed analysis of what the comparables actually do and the various weights these activities have within the firm finally the patterns of betas vary over time even for one particular company if one looks at the beta for an individual company the beta can change from year to year the systematic risk of the firm may vary the capital structure may vary or both this fact should provide some caution about using betas estimated over long time periods these points are not intended to dissuade you from using discounted cash flow methods for valuing firms and projects alternatives have little justification in most cases you should remember however that considerable care needs to be taken when applying the simple formulas think about which firms are closest to the firm being valued think about the underlying economics of the firm weighted average cost of capital wacc estimation using weighted average cost of capital starts with the same cash flows and asset betas with which ccf starts the difference between the two methods is where the tax advantages of debt comes
A Note on Valuation in Private Equity,points are not intended to dissuade you from using discounted cash flow methods for valuing firms and projects alternatives have little justification in most cases you should remember however that considerable care needs to be taken when applying the simple formulas think about which firms are closest to the firm being valued think about the underlying economics of the firm weighted average cost of capital wacc estimation using weighted average cost of capital starts with the same cash flows and asset betas with which ccf starts the difference between the two methods is where the tax advantages of debt comes into the calculation in ccf the value of the debt tax shield is calculated each year therefore the value of debt and interest payment can be changing over time with wacc the debt tax advantage affects the discount rate applied to the cash flows this implies that we either use some longrun debttoequity ratio or some average debttoequity ratio for the firm if debt changes a lot over time then wacc can be somewhat cumbersome the first step in wacc is to determine the appropriate discount rate using the same inputs as in the ccf method the discount rate for
A Note on Valuation in Private Equity,into the calculation in ccf the value of the debt tax shield is calculated each year therefore the value of debt and interest payment can be changing over time with wacc the debt tax advantage affects the discount rate applied to the cash flows this implies that we either use some longrun debttoequity ratio or some average debttoequity ratio for the firm if debt changes a lot over time then wacc can be somewhat cumbersome the first step in wacc is to determine the appropriate discount rate using the same inputs as in the ccf method the discount rate for wacc rwacc is given by equation 8 8 to estimate the cost of equity rle you need to relever beta assuming the appropriate debt to equity ratio 9 the levered cost of equity is then given by equation 10 10 the appropriate net present value of the firm is then calculated by discounting the preinterest payment cash flows by the appropriate weighted average cost of capital equation 11 gives that calculation 11 the net present value of the project is then given by equation 12 12 the values you obtain with wacc and ccf should give you very close answers
A Note on Valuation in Private Equity,wacc rwacc is given by equation 8 8 to estimate the cost of equity rle you need to relever beta assuming the appropriate debt to equity ratio 9 the levered cost of equity is then given by equation 10 10 the appropriate net present value of the firm is then calculated by discounting the preinterest payment cash flows by the appropriate weighted average cost of capital equation 11 gives that calculation 11 the net present value of the project is then given by equation 12 12 the values you obtain with wacc and ccf should give you very close answers appendix a gives an example of both ccf and wacc valuations of a certain hypothetical firm the values obtained in each are very close to the other which is comforting the advice of this section is to employ the method that you feel most comfortable using the ccf method is perhaps easier to use and allows you to explicitly calculate the net present value of the tax shield effects of debt financing wacc may be easier to implement if the numbers are presented with an equilibrium debttoequity ratio remember that whichever method you use the values you get are only
A Note on Valuation in Private Equity,appendix a gives an example of both ccf and wacc valuations of a certain hypothetical firm the values obtained in each are very close to the other which is comforting the advice of this section is to employ the method that you feel most comfortable using the ccf method is perhaps easier to use and allows you to explicitly calculate the net present value of the tax shield effects of debt financing wacc may be easier to implement if the numbers are presented with an equilibrium debttoequity ratio remember that whichever method you use the values you get are only as good as what you put in garbage in garbage out make reasonable and justifiable assumptions when you attempt to value firms lbo valuation models many private equity investors in practice utilize the lbo method of valuing investments this method has developed to compensate for various patterns in private equity type investments i will discuss how the lbo method works and how it is related to the discounted cash flow methodologies that we discussed earlier the method starts in a similar manner to a discounted cash flow analysis by projecting a companys revenues and net income over several years five
A Note on Valuation in Private Equity,as good as what you put in garbage in garbage out make reasonable and justifiable assumptions when you attempt to value firms lbo valuation models many private equity investors in practice utilize the lbo method of valuing investments this method has developed to compensate for various patterns in private equity type investments i will discuss how the lbo method works and how it is related to the discounted cash flow methodologies that we discussed earlier the method starts in a similar manner to a discounted cash flow analysis by projecting a companys revenues and net income over several years five years is the most common interim cash flows are also calculated any positive cash flow in years 1 through the terminal year are used to pay down debt if there is negative cash flow in any year it is assumed that the firm will take on additional debt to fund the cash shortfall it should be noted that the cash used to pay down debt is the cash flow after paying interest and any dividends it is sometimes called cash flow available private equity investors will then take some performance measure in the terminal year say year 5 and use
A Note on Valuation in Private Equity,years is the most common interim cash flows are also calculated any positive cash flow in years 1 through the terminal year are used to pay down debt if there is negative cash flow in any year it is assumed that the firm will take on additional debt to fund the cash shortfall it should be noted that the cash used to pay down debt is the cash flow after paying interest and any dividends it is sometimes called cash flow available private equity investors will then take some performance measure in the terminal year say year 5 and use that to generate an exit value the exit value may be determined using ebitda multiples revenue multiples etc the critical element is that the private equity investor seeks to determine the value that the firm believes it can exit its investment the exit value is typically an enterprise value from this number the outstanding debt in the exit year is subtracted to arrive at an exit equity value an irr is the calculated for the equity in and the equity out selecting the right exit multiple requires judgment current industry multiples may be helpful but if the industry is growing
A Note on Valuation in Private Equity,that to generate an exit value the exit value may be determined using ebitda multiples revenue multiples etc the critical element is that the private equity investor seeks to determine the value that the firm believes it can exit its investment the exit value is typically an enterprise value from this number the outstanding debt in the exit year is subtracted to arrive at an exit equity value an irr is the calculated for the equity in and the equity out selecting the right exit multiple requires judgment current industry multiples may be helpful but if the industry is growing more quickly today because it is a young industry or is in an expansion phase then exit multiples might be lower in the future than they are today private equity investors will often look to their purchase multiple as well if the private equity firm believes that it got a good deal because the deal was proprietary or they bought the firm cheaply then the exit multiple in year 5 might be higher than the multiple they purchased the firm at today in any case it is typical for the private equity investor to utilize a range of exit multiples
A Note on Valuation in Private Equity,more quickly today because it is a young industry or is in an expansion phase then exit multiples might be lower in the future than they are today private equity investors will often look to their purchase multiple as well if the private equity firm believes that it got a good deal because the deal was proprietary or they bought the firm cheaply then the exit multiple in year 5 might be higher than the multiple they purchased the firm at today in any case it is typical for the private equity investor to utilize a range of exit multiples in their lbo model the private equity investor then models an irr based upon the equity that they invest up front today and what they believe they will receive for their equity ownership at exit in five years this typically requires projecting out a debt schedule including interim debt repayment so that the value of debt in the exit year is subtracted from the exit valuation in essence the private equity investor is valuing equity inequity out the investor then compares the irr of their equity investment to their hurdle rate hurdle rates vary from firm to firm and also
A Note on Valuation in Private Equity,in their lbo model the private equity investor then models an irr based upon the equity that they invest up front today and what they believe they will receive for their equity ownership at exit in five years this typically requires projecting out a debt schedule including interim debt repayment so that the value of debt in the exit year is subtracted from the exit valuation in essence the private equity investor is valuing equity inequity out the investor then compares the irr of their equity investment to their hurdle rate hurdle rates vary from firm to firm and also depend upon the size stage and industry of the investment typically lbo hurdle rates may be 2030 whereas growth equity hurdle rates may be in the 3040 range although these ranges can vary substantially across firms and across investments private equity firms will typically adjust their hurdle rate depending upon geography leverage industry risk etc where do these hurdle rates come from many are derived from industry rules of thumb if a firm is doing an lbo the investment has substantial leverage and the equity risk is higher similarly riskier industries may require higher returns to compensate for the underlying
